supplier,family,category,sub_family,sku,name,thickness_mm,length_m,unit_base,length_range,compatibility,composition,cost_excl_vat,cost_incl_vat,sale_excl_vat,sale_incl_vat,margin_percent,profit,consumer_final,web_price_excl_vat,web_sale_incl_vat,web_sale_incl_vat_alt,web_price_incl_vat,price_public
BROMYROS,ISOROOF,Panel,Isoroof Foil,IAGRO30,Isoroof FOIL 30 mm - Color Gris-Rojo,30,on demand ,m2,3.5 / 14,,PIR,28.14,,32.361,39.48042,,,,32.361,,,39.48042,
BROMYROS,ISOROOF,Panel,Isoroof Foil,IAGRO50,Isoroof FOIL 50 mm - Color Rojo-Gris,50,on demand ,m2,3.5 / 14,,PIR,31.9,,36.685,44.7557,,,,36.685,,,44.7557,
BROMYROS,ISOROOF,Panel,Isoroof 3G,IROOF30,Isoroof 30 mm Terracota o Gris,30,on demand ,m2,3.5 / 14,,PIR,34.737825,,39.94849875,48.73716848,,,,39.94849875,,,48.73716848,
BROMYROS,ISOROOF,Panel,Isoroof 3G,IROOF40,Isoroof 40 mm Terracota o Gris,40,on demand ,m2,3.5 / 14,,PIR,36.5,,41.975,51.2095,,,,41.975,,,51.2095,
BROMYROS,ISOROOF,Panel,Isoroof 3G,IROOF50,Isoroof 50 mm Terracota o Gris,50,on demand ,m2,3.5 / 14,,PIR,38.25834,,43.997091,53.67645102,,,,43.997091,,,53.67645102,
BROMYROS,ISOROOF,Panel,Isoroof 3G,IROOF80,Isoroof 80 mm - Gris - Rojo,80,on demand ,m2,3.5 / 14,,PIR,44.982385,,51.72974275,63.11028616,,,,51.72974275,,,63.11028616,
BROMYROS,ISOROOF,Panel,Isoroof 3G,IROOF100,Isoroof 100 mm - Gris - Rojo,100,on demand ,m2,3.5 / 14,,PIR,49.39,,56.7985,69.29417,,,,56.7985,,,69.29417,
BROMYROS,ISOROOF,Panel,Isoroof Plus,IROOF50-PLS,Isoroof Plus 50 mm - Gris - Rojo (MINIMO 800 M2),50,on demand ,m2,3.5 / 14,,PIR,43.53,,50.0595,61.07259,,,,60.942,,,74.34924,
BROMYROS,ISOROOF,Panel,Isoroof Plus,IROOF80-PLS,Isoroof Plus 80 mm - Gris - Rojo,80,on demand ,m2,3.5 / 14,,PIR,51.148065,,58.82027475,71.7607352,,,,58.82027475,,,71.7607352,
BROMYROS,Sellador,Accesorio,Isoroof Colonial,C.But.,Cinta Butilo 2mm x 15mm x 22.5m lineales,Estandar,"22,5",unit,,,Butilo ,12.95,,14.8925,18.16885,,,,18.13,,,22.1186,
BROMYROS,ISOROOF,Anclajes / Fijaciones,Isoroof Colonial,Cab. Roj,"Caballete Rojo Teja, Gris y blanco- (Arandela Trapezoidal)",Estandar,N/A ,unit,,,PIR,0.33,,0.495,0.6039,,,,0.462,,,0.56364,
BROMYROS,Estandar,Accesorio,Isoroof Colonial,Bromplast,Bromplast 8 - Silicona Neutra  X 600,Estandar,N/A ,unit,,,Estandar,7.91,,9.492,11.58024,,,,11.074,,,13.51028,
BROMYROS,ISOROOF,Perfileria / Terminaciones,Isoroof Colonial,GFS30,Gotero Frontal Simple 30mm Prep.,30,3.03,unit,3.03,,GOTERO FRONTAL PREPINTADO,13.19,,15.828,19.31016,,,,18.466,,,22.52852,
BROMYROS,ISOROOF,Perfileria / Terminaciones,Isoroof Colonial,GFS50,Gotero Frontal Simple 50mm Prep.,50,3.03,unit,3.03,,GOTERO FRONTAL PREPINTADO,13.97,,16.764,20.45208,,,,19.558,,,23.86076,
BROMYROS,ISOROOF,Perfileria / Terminaciones,Isoroof Colonial,GFS80,Gotero Frontal Simple 80mm Prep.,80,3.03,unit,3.03,,GOTERO FRONTAL PREPINTADO,14.69,,17.628,21.50616,,,,20.566,,,25.09052,
BROMYROS,ISOROOF,Perfileria / Terminaciones,Isoroof Colonial,GFSUP30,Gotero Superior 30mm Prep.,30,3.03,unit,3.03,,GOTERO FRONTAL PREPINTADO,23.51,,28.212,34.41864,,,,32.914,,,40.15508,
BROMYROS,ISOROOF,Perfileria / Terminaciones,Isoroof Colonial,GFSUP40,Gotero Superior 40mm Prep.,40,3.03,unit,3.03,,GOTERO FRONTAL PREPINTADO,21.3,,25.56,31.1832,,,,29.82,,,36.3804,
BROMYROS,ISOROOF,Perfileria / Terminaciones,Isoroof Colonial,GFSUP50,Gotero Superior 50mm Prep.,50,3.03,unit,3.03,,GOTERO FRONTAL PREPINTADO,24.23,,29.076,35.47272,,,,33.922,,,41.38484,
BROMYROS,ISOROOF,Perfileria / Terminaciones,Isoroof Colonial,GFSUP80,Gotero Superior 80mm Prep.,80,3.03,unit,3.03,,GOTERO FRONTAL PREPINTADO,25.7,,30.84,37.6248,,,,35.98,,,43.8956,
BROMYROS,ISOROOF,Perfileria / Terminaciones,Isoroof Colonial,GFCGR30,Gotero frontal con greca  1 x panel  30 - 40 - 50 - 80 - 100 mm,30,3.03,unit,3.03,,GOTERO FRONTAL PREPINTADO,13.84,,17.992,21.95024,,,,19.376,,,23.63872,
BROMYROS,ISODEC,Perfileria / Terminaciones,Isoroof Colonial,GSDECAM50,Gotero Superior  -  DE CAMARA  50mm,50,3.03,unit,3.03,,GOTERO FRONTAL PREPINTADO,22.77,,27.324,33.33528,,,,31.878,,,38.89116,
BROMYROS,ISODEC,Perfileria / Terminaciones,Isoroof Colonial,GSDECAM80,Gotero Superior  -  DE CAMARA  80mm,80,3.03,unit,3.03,,GOTERO FRONTAL PREPINTADO,24.95,,29.94,36.5268,,,,34.93,,,42.6146,
BROMYROS,ISOROOF,Perfileria / Terminaciones,Isoroof Colonial,GL30,Gotero Lateral 30mm  Prep.,30,3,unit,3,,GOTERO LATERAL PREPINTADO,18.19,,21.828,26.63016,,,,25.466,,,31.06852,
BROMYROS,ISOROOF,Perfileria / Terminaciones,Isoroof Colonial,GL40,Gotero Lateral 40mm  Prep.,40,3,unit,3,,GOTERO LATERAL PREPINTADO,18.9,,22.68,27.6696,,,,26.46,,,32.2812,
BROMYROS,ISOROOF,Perfileria / Terminaciones,Isoroof Colonial,GL50,Gotero Lateral 50mm  Prep.,50,3,unit,3,,GOTERO LATERAL PREPINTADO,19.64,,23.568,28.75296,,,,27.496,,,33.54512,
BROMYROS,ISOROOF,Perfileria / Terminaciones,Isoroof Colonial,GL80,Gotero Lateral 80mm  Prep.,80,3,unit,3,,GOTERO LATERAL PREPINTADO,21.09,,25.308,30.87576,,,,29.526,,,36.02172,
BROMYROS,ISOROOF,Perfileria / Terminaciones,Isoroof Colonial,GLDCAM50,Gotero Lateral   CAMARA  50mm  Prep.,50,3,unit,3,,GOTERO LATERAL PREPINTADO,18.6,,22.32,27.2304,,,,26.04,,,31.7688,
BROMYROS,ISOROOF,Perfileria / Terminaciones,Isoroof Colonial,GLDCAM80,Gotero Lateral  CAMARA  80mm  Prep.,80,3,unit,3,,GOTERO LATERAL PREPINTADO,20.92,,25.104,30.62688,,,,29.288,,,35.73136,
BROMYROS,ISOROOF,Perfileria / Terminaciones,Isoroof Colonial,BBAS3G,Babeta de Atornillar Superior 3G,Estandar,3.03,unit,3.03,,BABETAS PREPINTADOS,19.78,,23.736,28.95792,,,,27.692,,,33.78424,
BROMYROS,ISOROOF,Perfileria / Terminaciones,Isoroof Colonial,BBESUP,Babeta de Empotrar Superior 3G,Estandar,3.03,unit,3.03,,BABETAS PREPINTADOS,19.06,,22.872,27.90384,,,,26.684,,,32.55448,
BROMYROS,ISOROOF,Perfileria / Terminaciones,Isoroof Colonial,BBAL,Babeta de Atornillar Lateral,Estandar,3,unit,3.03,,BABETAS PREPINTADOS,12,,14.4,17.568,,,,16.8,,,20.496,
BROMYROS,ISOROOF,Perfileria / Terminaciones,Isoroof Colonial,CD30,"Canalón Doble roof 30mm / base 150mm + tapas + agujero + bajada / 3,03 m",30,3.03,unit,3.03,,CANALÓN PREPINTADO,59.86,,71.832,87.63504,,,,83.804,,,102.24088,
BROMYROS,ISOROOF,Perfileria / Terminaciones,Isoroof Colonial,CD50,"Canalón Doble roof 50mm / base 150mm + tapas + agujero + bajada / 3,03 m",50,3.03,unit,3.03,,CANALÓN PREPINTADO,60.99,,73.188,89.28936,,,,85.386,,,104.17092,
BROMYROS,ISOROOF,Perfileria / Terminaciones,Isoroof Colonial,CD80,"Canalón Doble roof 80mm / base 150mm + tapas + agujero + bajada / 3,03 m",80,3.03,unit,3.03,,CANALÓN PREPINTADO,61.85,,74.22,90.5484,,,,86.59,,,105.6398,
BROMYROS,ISOROOF,Perfileria / Terminaciones,Isoroof Colonial,SOPCAN3M,Soporte para Canalón Isoroof (3m),Estandar,3,unit,,,CANALÓN PREPINTADO,10.93,,13.116,16.00152,,,,15.302,,,18.66844,
BROMYROS,ISOROOF,Perfileria / Terminaciones,Isoroof Colonial,CUMROOF3M,Cumbrera Roof 3G de 3 m,Estandar,3,unit,,,CUMBRERAS PREPINTADO,29.35,,35.22,42.9684,,,,41.09,,,50.1298,
BROMYROS,ISOWALL,Panel,Isoroof Colonial,IW50,Isowall 50 mm PIR - GRIS / Blanco,50,on demand ,m2,2.6 / 14,,PIR,38.954135,,46.744962,57.02885364,,,,46.744962,,,57.02885364,
BROMYROS,ISOWALL,Panel,Isoroof Colonial,IW80,Isowall 80 mm,80,on demand ,m2,2.6 / 14,,PIR,46.4509,,53.418535,65.1706127,,,,53.418535,,,65.1706127,
BROMYROS,ISOWALL,Panel,Isoroof Colonial,IW100,Isowall 100 mm,100,on demand ,m2,2.6 / 14,,PIR,51.22,,58.903,71.86166,,,,58.903,,,71.86166,
BROMYROS,ISOFRIG,Panel,Isoroof Colonial,IF40 ,IsoFrig 40 mm,40,on demand ,m2,2.3 / 14,,PIR,36.274805,,43.529766,53.10631452,,,,43.529766,,,53.10631452,
BROMYROS,ISOFRIG,Panel,Isoroof Colonial,IF60 - IFSL60,IsoFrig - Sala Limpia 60 mm,60,on demand ,m2,2.3 / 14,,PIR,41.218065,,47.40077475,57.8289452,,,,47.40077475,,,57.8289452,
BROMYROS,ISOFRIG,Panel,Isoroof Colonial,IF80 - IFSL80,IsoFrig - Sala Limpia 80 mm,80,on demand ,m2,2.3 / 14,,PIR,45.47189,,52.2926735,63.79706167,,,,52.2926735,,,63.79706167,
BROMYROS,ISOFRIG,Panel,Isoroof Colonial,IF100 - IFSL100,IsoFrig - Sala Limpia 100 mm,100,on demand ,m2,2.3 / 14,,PIR,50.439845,,58.00582175,70.76710254,,,,58.00582175,,,70.76710254,
BROMYROS,ISOFRIG,Panel,Isoroof Colonial,IF150 - IFSL150,IsoFrig - Sala Limpia 150 mm,150,on demand ,m2,2.3 / 14,,PIR,61.188125,,70.36634375,85.84693938,,,,70.36634375,,,85.84693938,
BROMYROS,ISOPANEL,Panel,Isoroof Colonial,ISD50EPS,ISOPANEL EPS 50 mm,50,on demand ,m2,2.3 / 14,,EPS,29.84748,,34.324602,41.87601444,,,,34.324602,,,41.87601444,
BROMYROS,ISOPANEL,Panel,Isoroof Colonial,ISD100EPS,ISOPANEL EPS 100 mm,100,on demand ,m2,2.3 / 14,,EPS,32.834295,,37.75943925,46.06651589,,,,37.75943925,,,46.06651589,
BROMYROS,ISOPANEL,Panel,Isoroof Colonial,ISD150EPS,ISOPANEL EPS 150 mm,150,on demand ,m2,2.3 / 14,,EPS,36.93729,,42.4778835,51.82301787,,,,42.4778835,,,51.82301787,
BROMYROS,ISOPANEL,Panel,Isoroof Colonial,ISD200EPS,ISOPANEL EPS 200 mm,200,on demand ,m2,2.3 / 14,,EPS,41.42268,,47.636082,58.11602004,,,,47.636082,,,58.11602004,
BROMYROS,ISOPANEL,Panel,Isoroof Colonial,ISD250EPS,ISOPANEL EPS 250mm,250,on demand ,m2,2.3 / 14,,EPS,45.525675,,52.35452625,63.87252203,,,,52.35452625,,,63.87252203,
BROMYROS,ISOFRIG,Perfileria / Terminaciones,Isoroof Colonial,PU50MM,Perfil Ch. Blanco U 40 mm x 35 mm ISOFRIG / 3 m,40,3,unit,3,,PIR,9.45,,11.34,13.8348,,,,13.23,,,16.1406,
BROMYROS,ISOPANEL EPS & PIR / ISOFRIG / ISOWALL,Perfileria / Terminaciones,Isoroof Colonial,PU100MM,Perfil Ch. Blanco U 100 mm x 35 mm / 3 m,100,3,unit,3,,EPS ,10.35,,12.42,15.1524,,,,14.49,,,17.6778,
BROMYROS,ISOPANEL,Perfileria / Terminaciones,Isoroof Colonial,PU150MM,Perfil Ch. Blanco U 150 mm x 35 mm / 3 m,150,3,unit,3,,EPS ,11.64,,13.968,17.04096,,,,16.296,,,19.88112,
BROMYROS,ISOPANEL,Perfileria / Terminaciones,Isoroof Colonial,PU200MM,Perfil Ch. Blanco U 200 mm x 35 mm / 3 m,200,3,unit,3,,EPS ,14.52,,17.424,21.25728,,,,20.328,,,24.80016,
BROMYROS,ISOPANEL,Perfileria / Terminaciones,Isoroof Colonial,PU250MM,Perfil Ch. Blanco U 250 mm x 35 mm / 3 m,250,3,unit,3,,EPS ,17.45,,20.94,25.5468,,,,24.43,,,29.8046,
BROMYROS,ISOPANEL / ISODEC,Perfileria / Terminaciones,Isoroof Colonial,PLEGU148,Plegado Galv. Tipo U 148 mm / 2 m de largo,Estandar,2,unit,2,,Estandar ,23.72,,28.464,34.72608,,,,33.208,,,40.51376,
BROMYROS,ISOPANEL / ISODEC,Perfileria / Terminaciones,Isoroof Colonial,PLECHU98,Plegado Galv. Tipo U 98 mm / 2 m de largo,Estandar,2,unit,2,,Estandar ,18.17,,21.804,26.60088,,,,25.438,,,31.03436,
BROMYROS,ISODEC,PANEL PIR,Isoroof Colonial,ISD50PIR,ISODEC 50mm PIR (EVITAR ESTE ESPESOR),Estandar,on demand ,m2,3.5 / 14,,PIR,36.36567375,,41.82052481,51.02104027,,,,41.82052481,,,51.02104027,
BROMYROS,ISODEC,PANEL PIR,Isoroof Colonial,ISD80PIR,ISODEC 80mm PIR,80,on demand ,m2,3.5 / 14,,PIR,37.17,,42.7455,52.14951,,,,42.7455,,,52.14951,
BROMYROS,ISODEC,Perfileria / Gotero Frontal,Isoroof Colonial,GF80DC,"Perf. Ch. Gotero Frontal 50mm - ISODEC PIR  - (3,03m)",50,3.03,unit,3.03,,PIR ,16.64007345,,19.96808814,24.36106753,,,,23.29610283,,,28.42124545,
BROMYROS,ISODEC,Perfileria / Gotero Frontal,Isoroof Colonial,GF120DC,"Perf. Ch. Gotero Frontal 80mm - ISODEC PIR  - (3,03m)",80,3.03,unit,3.03,,PIR,17.38887676,,20.86665211,25.45731557,,,,24.34442746,,,29.7002015,
BROMYROS,ISODEC,Perfileria / Gotero Frontal,Isoroof Colonial,6838,"Perf. Ch. Gotero Frontal 100mm - (3,03m)",100,3.03,unit,3.03,,EPS/PIR,13.06,,15.672,19.11984,,,,18.284,,,22.30648,
BROMYROS,ISODEC,Perfileria / Gotero Frontal,Isoroof Colonial,6839,"Perf. Ch. Gotero Frontal 150mm - (3,03m)",150,3.03,unit,3.03,,EPS ,18.87,,22.644,27.62568,,,,26.418,,,32.22996,
BROMYROS,ISODEC,Perfileria / Gotero Frontal,Isoroof Colonial,6840,"Perf. Ch. Gotero Frontal 200mm - (3,03m)",200,3.03,unit,3.03,,EPS ,19.64,,23.568,28.75296,,,,27.496,,,33.54512,
BROMYROS,ISODEC,Perfileria / Gotero Frontal,Isoroof Colonial,6841,"Perf. Ch. Gotero Frontal 250mm - (3,03m)",250,3.03,unit,3.03,,EPS ,19.83,,23.796,29.03112,,,,27.762,,,33.86964,
BROMYROS,ISODEC,Perfileria / Terminaciones,Isoroof Colonial,GL80DC,Perf. Ch. Gotero Lateral 50mm - ISODEC PIR  - (3m),50,3,unit,3,,PIR ,22.0883754,,26.50605048,32.33738159,,,,30.92372556,,,37.72694518,
BROMYROS,ISODEC,Perfileria / Terminaciones,Isoroof Colonial,6842,Perf. Ch. Gotero Lateral 100mm - (3m),100,3,unit,3,,EPS ,17.31,,20.772,25.34184,,,,24.234,,,29.56548,
BROMYROS,ISODEC,Perfileria / Terminaciones,Isoroof Colonial,GL120DC,Perf. Ch. Gotero Lateral 120mm - ISODEC PIR  - (3m),120,3,unit,3,,PIR ,25.9009569,,31.08114828,37.9190009,,,,36.26133966,,,44.23883439,
BROMYROS,ISODEC,Perfileria / Terminaciones,Isoroof Colonial,6843,Perf. Ch. Gotero Lateral 150mm - (3m),150,3,unit,3,,EPS ,24.22,,29.064,35.45808,,,,33.908,,,41.36776,
BROMYROS,ISODEC,Perfileria / Terminaciones,Isoroof Colonial,6844,Perf. Ch. Gotero Lateral 200mm - (3m),200,3,unit,3,,EPS ,26.46,,31.752,38.73744,,,,37.044,,,45.19368,
BROMYROS,ISODEC,Perfileria / Terminaciones,Isoroof Colonial,6845,Perf. Ch. Gotero Lateral 250mm - (3m),250,3,unit,3,,EPS ,26.62,,31.944,38.97168,,,,37.268,,,45.46696,
BROMYROS,ISODEC,Perfileria / Terminaciones,Isoroof Colonial,6847,Perfil Cumbrera,Estandar,3.03,unit,3.03,,PIR / EPS ,19.64,,23.568,28.75296,,,,27.496,,,33.54512,
BROMYROS,ISODEC,Perfileria / Terminaciones,Isoroof Colonial,6828,Babeta ISODEC de Adosar,Estandar,3,unit,3,,PIR / EPS ,10.16,,12.192,14.87424,,,,14.224,,,17.35328,
BROMYROS,ISODEC,Perfileria / Terminaciones,Isoroof Colonial,6865,Babeta ISODEC de empotrar,Estandar,3,unit,3,,PIR / EPS ,10.16,,12.192,14.87424,,,,14.224,,,17.35328,
BROMYROS,ISODEC,Perfileria / Terminaciones,Isoroof Colonial,6825,Vaina ISODEC Sist 2000,Estandar,3,unit,3,,PIR / EPS ,7.56,,9.072,11.06784,,,,10.584,,,12.91248,
